,Model,Algorithm,Dataset,MSE,R2,Time
39,knn,Adaptive Sampling,500_Person_Gender_Height_Weight_Index,0.0011624774999999996,99.51135876418662,2.069111342430115
40,knn,Adaptive Sampling,births,0.0102822875,95.63570140067912,2.1199932432174684
41,knn,Adaptive Sampling,airports,0.5096648833333336,99.26490641826923,1.421866814295451
42,knn,Adaptive Sampling,credit-g,0.0015426550000000006,99.07012959614225,3.152865889072418
43,knn,Adaptive Sampling,lymphography,0.011225437317784265,96.56220982142857,1.6378510241605797
44,knn,Adaptive Sampling,Cust_Segmentation,0.17837772499999985,99.24766881062843,2.080888180732727
45,knn,Adaptive Sampling,flag,0.014061879881656804,99.19102066312637,4.235119731609638
46,knn,Adaptive Sampling,drug_dt,0.0004792977502295686,99.79924798076924,2.159530607136813
47,knn,Adaptive Sampling,cylinder-bands,0.01732996249999999,91.7476369047619,1.7778373265266418
48,knn,Adaptive Sampling,Data_Uk,668.9033169450003,93.20423775348556,2.4779186725616453
49,knn,Adaptive Sampling,heart-statlog,0.0011081342592592599,99.54872360482655,4.748202045758565
50,knn,Adaptive Sampling,phoneme,0.003780390000000003,98.31533422459893,2.1869250917434693
51,knn,Adaptive Sampling,Churn_Modelling,4693.872981147503,96.67704940236025,5.628987605571747
52,knn,Adaptive Sampling,wilt,0.00016721500000000004,99.56454427083334,3.6503069496154783
53,knn,Adaptive Sampling,airport-frequencies,26605.986365354926,99.6077442239248,1.9872752571105956
54,knn,Adaptive Sampling,magic,0.0019492350000000006,98.960408,3.8862226009368896
55,knn,Adaptive Sampling,sales-records,0.08164797249999997,98.12195577918344,6.193603053092956
56,knn,Adaptive Sampling,hayes-roth,0.010767294421487612,97.35127293519696,2.283900558948517
57,knn,Adaptive Sampling,housing,0.013709634999999993,99.2547491302457,2.9181340551376342
58,knn,Adaptive Sampling,segment,0.08669781250000007,97.94574418301582,1.9199916267395019
59,knn,Adaptive Sampling,monk-2,0.003178135,98.48660238095238,1.9224327254295348
60,knn,Adaptive Sampling,autos,0.0885723925173011,92.97136188433154,1.5075514351620394
61,knn,Adaptive Sampling,FuelConsumption,4.149485699999994,96.03252233775548,4.748595180511475
62,knn,Adaptive Sampling,cleveland,0.024151207500000008,96.99462325783972,2.5588167095184327
63,knn,Adaptive Sampling,Titanic_Data,14.895603375235133,98.5242249325103,3.7321845390757575
64,knn,Adaptive Sampling,employees,128.82267643000006,88.83930910590185,2.2896286249160767
65,knn,Adaptive Sampling,Mall_Customers,0.001574270661157024,99.31969017857143,2.273140975923249
66,knn,Adaptive Sampling,50_Startups,0.007398852076124568,98.97198641826922,3.6286783919614902
67,knn,Adaptive Sampling,weight-height,0.00025242000000000016,99.899032,1.7989748811721802
68,knn,Adaptive Sampling,ToyotaCorolla,111.05802247499987,98.05241573799212,2.737717092037201
69,knn,Adaptive Sampling,AirPassengers,1.9309309166666673,99.84071871617319,1.9903807838757832
70,knn,Adaptive Sampling,mushroom,0.0010527424999999997,99.578903,3.135569758415222
71,knn,Adaptive Sampling,zoo,0.24453137413494788,92.89038560110666,1.6105590497746187
72,knn,Adaptive Sampling,IBM_CHRN_CSV,18683.46411038251,98.06773143661744,3.309902675151825
73,knn,Adaptive Sampling,titanic,0.00023037749999999985,99.90316204287517,2.05898800611496
74,knn,Adaptive Sampling,imdrating,270.234130325,98.63898470967038,2.2012558221817016
75,knn,Adaptive Sampling,advertising_classification,991.2009867400004,93.4416999148507,2.5210199975967407
76,knn,Adaptive Sampling,Bmi_male_female,0.001164702499999999,99.51042349726777,2.838512363433838
77,knn,Adaptive Sampling,FuelConsumptionCo2,5.066344709999995,95.15587932592328,4.531030459403992
78,knn,Adaptive Sampling,poker-hand,0.005530829999999998,98.271615625,7.0884594941139225
79,knn,Adaptive Sampling,iris,0.002771,99.55277598450614,3.743170962333679
80,knn,Adaptive Sampling,credit-a,0.003840299999999999,98.35250965250965,2.4825872707366945
81,knn,Adaptive Sampling,crime_data,21.199527611591705,72.17176835142622,2.113270170548383
82,knn,Adaptive Sampling,census_data,0.005840662499999979,99.57104417596945,8.552752454280853
83,knn,Adaptive Sampling,anneal,0.002693517499999982,99.06312434782609,3.5380331683158874
84,knn,Adaptive Sampling,hepatitis,0.005477156065088752,94.63397463768116,3.9856741703473606
85,knn,Adaptive Sampling,balance-scale,0.015428034999999986,96.1990551860064,1.8136362171173095
86,knn,Adaptive Sampling,soybean,0.19940726750000004,99.3002738184217,2.125096228122711
87,knn,Adaptive Sampling,car,0.01703446500000002,97.98074146514935,3.868858380317688
88,knn,Adaptive Sampling,horse-colic,0.009497432500000002,96.00780474989492,1.7726314711570739
89,knn,Adaptive Sampling,bupa-liver-disorders,0.000685742499999999,99.68984961555857,2.202264196872711
90,knn,Adaptive Sampling,jobs_in_data,13.255395727500016,97.89095106953671,7.985277717113495
91,knn,Adaptive Sampling,movie_data,591.3723179550003,99.56455996289026,2.1188902831077576
92,knn,Adaptive Sampling,cars,2.7525723423503803,99.46110916965415,2.248847446222415
93,knn,Adaptive Sampling,uforeports,2815.522743082498,96.28843971907419,3.495913891792297
94,knn,Adaptive Sampling,monk-3,0.008756637499999996,96.35140104166668,2.1597450470924375
95,knn,Adaptive Sampling,ecoli,0.19877278249999994,96.95488720969422,1.939771466255188
96,dt,Adaptive Sampling,Housing_Data,0.00023120500000000085,99.68586277173912,0.9404607105255127
97,dt,Adaptive Sampling,melb_data,11.907893589999958,99.84118702913743,0.6465715408325196
98,dt,Adaptive Sampling,echocardiogram,0.001509987603305786,99.14019529411765,0.5664522593671625
99,dt,Adaptive Sampling,Car_sales,1.0534447662721904,98.74330420925853,1.1407590370911818
100,dt,Adaptive Sampling,monk-1,0.0036752175000000025,98.52932472989195,0.470840904712677
101,dt,Adaptive Sampling,glass,0.11110280083316812,92.39862623507057,0.5611580492744983
102,dt,Adaptive Sampling,connect-4,0.014074479999999992,96.7238175046555,0.8387203788757325
103,dt,Adaptive Sampling,auto-mpg,0.003810057499999998,99.34070643709984,0.5298631238937378
104,dt,Adaptive Sampling,drug200,0.00036715782828282797,99.83477897727273,0.969027963551608
105,dt,Adaptive Sampling,sales-cars,1.6639225,61.100953428799755,0.783854345480601
106,dt,Adaptive Sampling,healthcare-dataset-stroke-data,0.0041246524999999975,98.30679289819376,0.5582425737380982
107,dt,Adaptive Sampling,nursery,0.07121811749999991,95.89070927817207,0.5418529605865479
108,dt,Adaptive Sampling,nba_logreg,1233.8497064700011,98.75782148159539,0.6567776226997375
109,dt,Adaptive Sampling,hr-evaluation,0.0010536249999999999,89.35732323232322,1.0213961338996886
110,dt,Adaptive Sampling,seismic-bumps,0.0001404999999999999,99.70421052631579,0.6253509521484375
111,dt,Adaptive Sampling,breast-cancer,0.0002322854570637118,99.86509805341055,0.902342751151637
112,dt,Adaptive Sampling,covertype,0.011244812499999996,99.25486631104631,0.8706119894981384
113,dt,Adaptive Sampling,Salaries,0.011376140000000005,98.1916801780321,0.9197428345680236
114,dt,Adaptive Sampling,diabetes,0.00032650499999999967,99.85232700135685,0.5357398772239685
115,dt,Adaptive Sampling,audiology,0.03588040444444443,99.77077064829749,1.9861649481455486
116,dt,Adaptive Sampling,deliveries,0.3526101174999996,97.61186773201672,1.1562813830375671
117,dt,Adaptive Sampling,heart-c,0.00045979499999999977,99.80484083191851,0.5940416884422303
118,dt,Adaptive Sampling,churn,0.0035139124999999994,94.60228494623657,1.16368595123291
119,dt,Adaptive Sampling,vote,0.0023817575000000014,99.00760104166667,1.0522312140464782
120,dt,Adaptive Sampling,results,0.41902397979797895,99.32740240257061,0.5519523403861306
121,dt,Adaptive Sampling,sonar,0.004056116939718549,98.33524372844828,0.8812283813089564
122,dt,Adaptive Sampling,SacramentocrimeJanuary2006,80735.93987032255,95.94724430828639,0.9524540138244629
123,dt,Adaptive Sampling,v3_Latest_Data_Science_Salaries,7.717792432499998,98.08179783163756,0.5717555165290833
124,dt,Adaptive Sampling,insurance,0.0004361274999999999,99.825549,0.9339127445220947
125,dt,Adaptive Sampling,wine,0.001468145647802358,99.75756095825426,0.5813173964872198
126,dt,Adaptive Sampling,hungarian-heart-disease,0.0013198880154102449,99.37861742647058,0.9826462998682138
127,dt,Adaptive Sampling,laptop_price,0.8898787400000004,95.10719593127148,1.0524976277351379
128,dt,Adaptive Sampling,pima-indians-diabetes,0.0042378024999999995,99.60080986247173,0.5440928220748902
129,dt,Adaptive Sampling,tic-tac-toe,0.0033257550000000014,98.60203656998738,0.5537846946716308
130,dt,Adaptive Sampling,adult,0.0012732525000000003,99.30194490131579,0.5852543687820435
131,dt,Adaptive Sampling,Titanic_Test,0.28264374137931014,99.84843438424556,0.5061115807500379
132,dt,Adaptive Sampling,Data_Preprocessing,0.0,100.0,0.8085350195566813
133,dt,Adaptive Sampling,haberman,0.0001988824999999999,99.8440137254902,0.49143027305603026
134,dt,Adaptive Sampling,ElectronicsData,0.05195800250000004,99.87326667341499,0.5114451456069946
135,dt,Adaptive Sampling,500_Person_Gender_Height_Weight_Index,0.0002120049999999999,99.91395900974027,0.4875258255004883
136,dt,Adaptive Sampling,births,0.005603625000000004,97.69966133004925,0.5059028220176697
137,dt,Adaptive Sampling,airports,0.9807289555555542,98.71736796675192,0.569979461034139
138,dt,Adaptive Sampling,credit-g,0.0009863375000000007,99.44306182947487,1.1442166209220885
139,dt,Adaptive Sampling,lymphography,0.0005112791545189472,99.83044457872928,0.6399296254527812
140,dt,Adaptive Sampling,Cust_Segmentation,0.3940080950000002,99.16506019283746,0.9195213794708252
141,dt,Adaptive Sampling,flag,0.004144196745562136,99.75613884052925,1.1963393101325401
142,dt,Adaptive Sampling,drug_dt,0.00030867929292929206,99.86109431818181,0.5242513779437903
143,dt,Adaptive Sampling,cylinder-bands,0.00044162750000000016,99.81255199490661,0.684618513584137
144,dt,Adaptive Sampling,Data_Uk,441.8217241124996,97.1688881144457,0.5791119337081909
145,dt,Adaptive Sampling,heart-statlog,0.0076880814814814765,96.86910708898945,1.3249656624264188
146,dt,Adaptive Sampling,phoneme,0.00060839,99.70452161243321,0.5164331722259522
147,dt,Adaptive Sampling,Churn_Modelling,2995.3778126125007,99.64019326732223,0.6307783150672912
148,dt,Adaptive Sampling,wilt,0.0005971450000000002,97.94795532646047,0.9003811883926391
149,dt,Adaptive Sampling,airport-frequencies,65560.4485792501,98.99229767586365,0.9319290065765381
150,dt,Adaptive Sampling,magic,0.0008004924999999999,99.65256401909723,0.5491528797149658
151,dt,Adaptive Sampling,sales-records,0.020369160000000018,99.55208004398021,1.058234202861786
152,dt,Adaptive Sampling,hayes-roth,0.04618587964876036,92.04485204626334,0.5199268406087701
153,dt,Adaptive Sampling,housing,0.0027960999999999993,99.86857962022937,0.48474658727645875
154,dt,Adaptive Sampling,segment,0.08766167249999995,97.89573267481217,0.5695811414718628
155,dt,Adaptive Sampling,monk-2,0.008872115,87.94549592391304,0.4616974210739136
156,dt,Adaptive Sampling,autos,0.3020741712802768,87.56750362260792,0.6307893430485445
157,dt,Adaptive Sampling,FuelConsumption,0.4240365699999994,99.6603914691928,1.0035418152809144
158,dt,Adaptive Sampling,cleveland,0.006893595000000002,99.222292982852,0.587662763595581
159,dt,Adaptive Sampling,Titanic_Data,1.1969722721714595,99.92430918230015,0.9547114958528613
160,dt,Adaptive Sampling,employees,12.687912147499999,99.62458706221543,0.5374560546875
161,dt,Adaptive Sampling,Mall_Customers,0.0017869810606060625,99.28520757575757,0.5053765231912787
162,dt,Adaptive Sampling,50_Startups,0.009301494809688584,99.03995285714285,0.9938699918634751
163,dt,Adaptive Sampling,weight-height,0.0005688400000000004,99.77237294917967,0.43028657913208007
164,dt,Adaptive Sampling,ToyotaCorolla,197.49855410749987,96.65928477474044,0.8061302947998047
165,dt,Adaptive Sampling,AirPassengers,5.258081819444455,99.58305370801281,0.46326759954293567
166,dt,Adaptive Sampling,mushroom,0.0006926999999999993,99.72292,1.1305964636802672
167,dt,Adaptive Sampling,zoo,0.05519302595155715,97.71805658082975,0.635214791578405
168,dt,Adaptive Sampling,IBM_CHRN_CSV,43372.810675622524,96.42268633591644,0.7591222333908081
169,dt,Adaptive Sampling,titanic,0.0032429825,97.80285738482385,0.4941192841529846
170,dt,Adaptive Sampling,imdrating,284.38569971500027,99.37881794360659,0.5336204075813293
171,dt,Adaptive Sampling,advertising_classification,2177.039317892502,97.58427562463645,0.5804018306732178
172,dt,Adaptive Sampling,Bmi_male_female,0.0002963175,99.87974127435065,0.8707455134391785
173,dt,Adaptive Sampling,FuelConsumptionCo2,0.48286380749999963,99.61327706182264,1.020466239452362
174,dt,Adaptive Sampling,poker-hand,0.005046520000000004,98.9648164102564,0.5508987522125244
175,dt,Adaptive Sampling,iris,0.0015700199999999986,99.754684375,0.9362187337875366
176,dt,Adaptive Sampling,credit-a,0.004905959999999998,97.93780580075662,0.5421118450164795
177,dt,Adaptive Sampling,crime_data,71.04585744723187,82.47323658769248,0.5339813372668099
178,dt,Adaptive Sampling,census_data,0.00954893750000001,99.19479403828316,0.5886628532409668
179,dt,Adaptive Sampling,anneal,0.004356842500000006,98.42371834298118,1.4784875845909118
180,dt,Adaptive Sampling,hepatitis,0.0011825358727810642,99.29100288248337,1.0770451793303857
181,dt,Adaptive Sampling,balance-scale,0.0005450325000000002,99.78163762019231,0.4495773482322693
182,dt,Adaptive Sampling,soybean,0.17709748500000003,99.36927501210894,0.7629829001426697
183,dt,Adaptive Sampling,car,0.013925830000000014,98.49466760350232,1.1979144358634948
184,dt,Adaptive Sampling,horse-colic,0.0007319650000000001,99.69232240437158,0.6570147848129273
185,dt,Adaptive Sampling,bupa-liver-disorders,0.0026215149999999983,98.89806010928962,0.5304327821731567
186,dt,Adaptive Sampling,jobs_in_data,2.6026901975000083,99.64294589506271,1.0082585620880127
187,dt,Adaptive Sampling,movie_data,741.2573356799996,99.72332287167713,0.5282168745994568
188,dt,Adaptive Sampling,cars,17.004979626998267,96.02822991038339,0.543117720505287
189,dt,Adaptive Sampling,uforeports,3226.998782762505,98.31166517686933,0.9143703293800354
190,dt,Adaptive Sampling,monk-3,0.007595619999999994,96.83515833333334,0.5215090155601502
191,dt,Adaptive Sampling,ecoli,0.14652349749999996,97.37882830948121,0.8840862894058228
192,mlp,Adaptive Sampling,Housing_Data,0.0003261750000000012,99.42167553191489,0.961495349407196
193,mlp,Adaptive Sampling,melb_data,47.47363441749994,99.33613717690363,0.9181786799430847
194,mlp,Adaptive Sampling,echocardiogram,0.0007381084710743808,99.67149931034483,0.6103580485690724
195,mlp,Adaptive Sampling,Car_sales,0.7806777359467456,99.05118476557759,1.1023813990446238
196,mlp,Adaptive Sampling,monk-1,0.0030960175,98.761593,0.4857094168663025
197,mlp,Adaptive Sampling,glass,0.08363287294187663,93.67926068215891,0.611222032090308
198,mlp,Adaptive Sampling,connect-4,0.0035667900000000002,98.73113127001068,0.9003865623474121
199,mlp,Adaptive Sampling,auto-mpg,0.0014551424999999973,99.7681047808765,0.5983417057991027
200,mlp,Adaptive Sampling,drug200,0.0016370344352617083,99.29256726190476,0.978931264443831
201,mlp,Adaptive Sampling,sales-cars,2.144641111111109,98.77836898734176,0.8882947961489359
202,mlp,Adaptive Sampling,healthcare-dataset-stroke-data,0.005244122500000001,97.59001723345588,0.6273163771629333
203,mlp,Adaptive Sampling,nursery,0.07156227249999995,95.87085150885697,0.5910226845741272
204,mlp,Adaptive Sampling,nba_logreg,6210.346675499996,95.59566767255411,1.3105171751976012
205,mlp,Adaptive Sampling,hr-evaluation,0.00013775500000000007,99.29716836734693,1.02551744222641
206,mlp,Adaptive Sampling,seismic-bumps,0.0001628050000000001,98.35550505050506,0.655164737701416
207,mlp,Adaptive Sampling,breast-cancer,0.009746443628808867,94.83793111795774,0.9468279010371158
208,mlp,Adaptive Sampling,covertype,0.018505827500000002,98.76496079151094,0.9799003362655639
209,mlp,Adaptive Sampling,Salaries,0.011930179999999995,97.66029025299079,1.0003899955749511
210,mlp,Adaptive Sampling,diabetes,0.00048060000000000035,99.77114285714286,0.5741348385810852
211,mlp,Adaptive Sampling,audiology,2.9014396888888907,93.36307440648052,2.3822555255889895
212,mlp,Adaptive Sampling,deliveries,0.5354095799999995,96.86344710017575,1.2938396978378295
213,mlp,Adaptive Sampling,heart-c,0.0058186025,97.47456488715278,0.6129508471488953
214,mlp,Adaptive Sampling,churn,0.0023061950000000005,96.86658288043478,1.207306182384491
215,mlp,Adaptive Sampling,vote,0.0009962425000000004,99.58123476250526,1.150521333217621
216,mlp,Adaptive Sampling,results,0.5040370461432513,99.50770745372114,0.6219772425564852
217,mlp,Adaptive Sampling,sonar,0.006676303665196387,97.2598377801724,0.9977025260096011
218,mlp,Adaptive Sampling,SacramentocrimeJanuary2006,37188.99383076498,98.56185524184507,2.8924124383926393
219,mlp,Adaptive Sampling,v3_Latest_Data_Science_Salaries,5.8723521000000005,98.44819356990267,0.6984093189239502
220,mlp,Adaptive Sampling,insurance,0.008070217499999992,96.7073776009792,1.0028598499298096
221,mlp,Adaptive Sampling,wine,0.0025432938810686576,99.56601931372549,0.6536287331985215
222,mlp,Adaptive Sampling,hungarian-heart-disease,0.004934605685131194,97.82206098345588,0.8357676145981769
223,mlp,Adaptive Sampling,laptop_price,0.41822992000000014,97.49351296603719,1.1892971611022949
224,mlp,Adaptive Sampling,pima-indians-diabetes,0.006933419999999992,99.50812854710557,0.6279897451400757
225,mlp,Adaptive Sampling,tic-tac-toe,0.0007531450000000011,99.64135952380953,0.5767174196243287
226,mlp,Adaptive Sampling,adult,0.0017419774999999987,99.0449684758772,0.5933629322052002
227,mlp,Adaptive Sampling,Titanic_Test,11.827284664090381,98.37405044503473,0.5958559019812222
228,mlp,Adaptive Sampling,Data_Preprocessing,0.07998688888888882,91.00147500000001,0.805579662322998
229,mlp,Adaptive Sampling,haberman,0.0003914475000000004,99.56505833333334,0.5197303366661071
230,mlp,Adaptive Sampling,ElectronicsData,0.4926939699999992,98.78309609138624,0.5806314086914063
231,mlp,Adaptive Sampling,500_Person_Gender_Height_Weight_Index,0.0004660174999999999,99.77366804273919,0.5112670159339905
232,mlp,Adaptive Sampling,births,0.00035716500000000005,99.85504667207792,0.5364012932777404
233,mlp,Adaptive Sampling,airports,24.709717833333336,80.84847911643126,0.6716333071390788
234,mlp,Adaptive Sampling,credit-g,0.0011800800000000007,99.40127853881279,1.2545949864387511
235,mlp,Adaptive Sampling,lymphography,0.012178860578925426,96.32645172738694,0.7313133064581423
236,mlp,Adaptive Sampling,Cust_Segmentation,0.2429373924999998,99.53162013954761,1.0526838755607606
237,mlp,Adaptive Sampling,flag,0.008893580769230776,99.535303255627,1.7469875445732703
238,mlp,Adaptive Sampling,drug_dt,0.004803684687786954,98.03337871240602,0.53353797305714
239,mlp,Adaptive Sampling,cylinder-bands,0.002738542499999998,98.858940625,0.7586880016326905
240,mlp,Adaptive Sampling,Data_Uk,829.6854832525004,94.507332916625,0.7836262631416321
241,mlp,Adaptive Sampling,heart-statlog,0.00182475,99.26684151785715,1.1486700640784369
242,mlp,Adaptive Sampling,phoneme,0.0033942525000000045,98.48740975935829,0.522128255367279
243,mlp,Adaptive Sampling,Churn_Modelling,16899.450984189996,97.61129007788341,1.8011744809150696
244,mlp,Adaptive Sampling,wilt,0.0002762725,99.28054036458333,0.793060393333435
245,mlp,Adaptive Sampling,airport-frequencies,68800.53875386479,98.92634257175608,4.5070924162864685
246,mlp,Adaptive Sampling,magic,0.0011431849999999986,99.47463924632352,0.596905324459076
247,mlp,Adaptive Sampling,sales-records,0.04693878999999995,98.7980131110599,1.1880315303802491
248,mlp,Adaptive Sampling,hayes-roth,0.0751656012396694,85.71927340529932,0.5691690336574208
249,mlp,Adaptive Sampling,housing,0.014215897499999994,99.33753215434083,0.5465877866744995
250,mlp,Adaptive Sampling,segment,0.08878067000000009,97.88617452380952,0.6446419358253479
251,mlp,Adaptive Sampling,monk-2,0.003639417499999999,98.23243443419135,0.5023891615867615
252,mlp,Adaptive Sampling,autos,0.18382681985294116,89.22394504310344,0.7085459688130546
253,mlp,Adaptive Sampling,FuelConsumption,6.549982254999996,93.717670126913,1.183944923877716
254,mlp,Adaptive Sampling,cleveland,0.008102537500000005,99.38890282072555,0.6554755520820618
255,mlp,Adaptive Sampling,Titanic_Data,155.2757050696723,93.35725515003061,1.140570456864404
256,mlp,Adaptive Sampling,employees,20.388159964999986,99.26201503913084,0.698395094871521
257,mlp,Adaptive Sampling,Mall_Customers,0.009193048553719009,94.76537,0.5185308781537142
258,mlp,Adaptive Sampling,50_Startups,0.001533735294117648,99.837040625,1.0793776512145996
259,mlp,Adaptive Sampling,weight-height,0.00023475999999999987,99.906096,0.45282773971557616
260,mlp,Adaptive Sampling,ToyotaCorolla,36.868880982500016,99.33601832986307,1.2299691581726073
261,mlp,Adaptive Sampling,AirPassengers,2.8554896388888955,99.8866311336304,0.5083816548188528
262,mlp,Adaptive Sampling,mushroom,0.00115804,99.536784,1.1980277156829835
263,mlp,Adaptive Sampling,zoo,0.23674037370242196,92.67473576017132,0.7068502902984619
264,mlp,Adaptive Sampling,IBM_CHRN_CSV,66088.5931344075,98.34747521582867,3.7822180199623108
265,mlp,Adaptive Sampling,titanic,0.00040516750000000034,99.77122106154714,0.5315791249275208
266,mlp,Adaptive Sampling,imdrating,667.0002284949999,99.19316058832247,0.8058380270004273
267,mlp,Adaptive Sampling,advertising_classification,694.1401722950001,99.21035219315809,0.9253472161293029
268,mlp,Adaptive Sampling,Bmi_male_female,0.0016906125000000006,98.98094484629296,0.9325447607040406
269,mlp,Adaptive Sampling,FuelConsumptionCo2,2.1173296199999996,98.14725042964498,1.0049985074996948
270,mlp,Adaptive Sampling,poker-hand,0.001530594999999999,99.7734465660154,0.5294552922248841
271,mlp,Adaptive Sampling,iris,0.003528105000000003,99.43058344092964,1.044479579925537
272,mlp,Adaptive Sampling,credit-a,0.008804775000000004,96.17848307291666,0.5759581208229065
273,mlp,Adaptive Sampling,crime_data,5.366849837370242,98.04035527998181,0.585508711197797
274,mlp,Adaptive Sampling,census_data,0.002274770000000009,99.71263643254169,0.6596084785461426
275,mlp,Adaptive Sampling,anneal,0.0015455499999999884,99.49738211382115,1.6659687376022339
276,mlp,Adaptive Sampling,hepatitis,0.006651530695266273,92.34649404255319,1.5290204332425044
277,mlp,Adaptive Sampling,balance-scale,0.0015396000000000034,99.36798029556651,0.5003197813034057
278,mlp,Adaptive Sampling,soybean,0.2464451375000002,99.15484047277741,0.879701178073883
279,mlp,Adaptive Sampling,car,0.01504523250000001,98.4102670646661,1.056740927696228
280,mlp,Adaptive Sampling,horse-colic,0.0007606875000000007,99.66984049479166,0.712414584159851
281,mlp,Adaptive Sampling,bupa-liver-disorders,0.0009645699999999984,99.54905563347359,0.5579222893714905
282,mlp,Adaptive Sampling,jobs_in_data,1.7559932175,99.72500749850758,1.201508376598358
283,mlp,Adaptive Sampling,movie_data,773.9685024375,99.72344890391085,0.9210657477378845
284,mlp,Adaptive Sampling,cars,6.449692530750429,98.65989566449025,0.6447946011335001
285,mlp,Adaptive Sampling,uforeports,729.1244748025002,99.68290349401096,1.3070773243904115
286,mlp,Adaptive Sampling,monk-3,0.004095504999999993,98.32904732762138,0.5504173755645752
287,mlp,Adaptive Sampling,ecoli,0.13780190500000006,97.88812577585017,0.8786861562728882
288,logr,Adaptive Sampling,Housing_Data,0.0005637275000000025,99.00048315602837,0.8531214284896851
289,logr,Adaptive Sampling,melb_data,67.57234764999997,99.04772435307576,0.6284308767318726
290,logr,Adaptive Sampling,echocardiogram,0.0006622427685950404,99.70526390804598,0.5270903056318109
291,logr,Adaptive Sampling,Car_sales,1.4137458609467461,98.35718327431499,1.0355527859467726
292,logr,Adaptive Sampling,monk-1,0.00034776250000000044,99.85886262175325,0.41897919178009035
293,logr,Adaptive Sampling,glass,0.06924566127752428,94.14316479026846,0.4824832493150738
294,logr,Adaptive Sampling,connect-4,0.0009175950000000027,97.61042968749999,0.7477718162536621
295,logr,Adaptive Sampling,auto-mpg,0.0015420474999999984,99.78030381820773,0.4693326210975647
296,logr,Adaptive Sampling,drug200,0.00964633333333334,95.55349968253968,0.6881349700869936
297,logr,Adaptive Sampling,sales-cars,17.372345444444438,89.90428288470076,0.6805725693702698
298,logr,Adaptive Sampling,healthcare-dataset-stroke-data,0.0002555275000000002,99.71608055555555,0.49560621500015256
299,logr,Adaptive Sampling,nursery,0.06161162000000002,96.07544302184853,0.45120275020599365
300,logr,Adaptive Sampling,nba_logreg,4656.249541127505,96.55970067027249,0.7284614658355713
301,logr,Adaptive Sampling,hr-evaluation,8.350750000000002e-05,69.75688669446455,0.9471802043914795
302,logr,Adaptive Sampling,seismic-bumps,2.4599999999999995e-05,86.76776432237322,0.5777314519882202
303,logr,Adaptive Sampling,breast-cancer,0.0017407916897506906,98.6145815696649,0.8470217328322561
304,logr,Adaptive Sampling,covertype,0.0056700725000000006,99.54343566309687,0.8227795958518982
305,logr,Adaptive Sampling,Salaries,0.018512687500000003,96.50704009433963,0.6937981820106507
306,logr,Adaptive Sampling,diabetes,0.0015170199999999998,99.21152806652806,0.48840219497680665
307,logr,Adaptive Sampling,audiology,3.3423449755555574,92.22147683595365,1.9547053082784016
308,logr,Adaptive Sampling,deliveries,0.08013315249999996,99.60543228158805,1.0517274403572083
309,logr,Adaptive Sampling,heart-c,0.007606107500000006,96.65665604395605,0.5267861318588257
310,logr,Adaptive Sampling,churn,0.0014140324999999997,85.71684343434343,1.0908625316619873
311,logr,Adaptive Sampling,vote,0.0007278225000000005,99.69406368221942,1.0007282781600952
312,logr,Adaptive Sampling,results,0.2890020454545464,99.73340288389862,0.4754229025407271
313,logr,Adaptive Sampling,sonar,0.006503316845200588,97.39812676470588,0.870633387911147
314,logr,Adaptive Sampling,SacramentocrimeJanuary2006,17397.69073260001,99.2828560013797,1.0680359506607056
315,logr,Adaptive Sampling,v3_Latest_Data_Science_Salaries,0.7244713774999997,99.60202867511786,0.5049292993545532
316,logr,Adaptive Sampling,insurance,0.002896284999999998,98.80269326167837,0.8662866115570068
317,logr,Adaptive Sampling,wine,0.0030577186871588637,99.47823927696079,0.5208481166322353
318,logr,Adaptive Sampling,hungarian-heart-disease,0.007847459079550189,96.62334242831541,0.9280063546433741
319,logr,Adaptive Sampling,laptop_price,0.5113454125000004,96.01566622382907,0.930875940322876
320,logr,Adaptive Sampling,pima-indians-diabetes,0.006356929999999998,99.50223709967896,0.47326332330703735
321,logr,Adaptive Sampling,tic-tac-toe,0.0004322425000000004,99.61782272325375,0.5025180315971375
322,logr,Adaptive Sampling,adult,0.0024106225000000005,98.4933609375,0.5283934926986694
323,logr,Adaptive Sampling,Titanic_Test,7.425932130499408,98.89620836454304,0.4500384495176118
324,logr,Adaptive Sampling,Data_Preprocessing,0.0,100.0,0.716056744257609
325,logr,Adaptive Sampling,haberman,0.00024705249999999973,99.62050307219663,0.4390998601913452
326,logr,Adaptive Sampling,ElectronicsData,0.2983597874999999,99.25376285894367,0.4560008692741394
327,logr,Adaptive Sampling,500_Person_Gender_Height_Weight_Index,0.0002828700000000001,99.74989389920424,0.43422760009765626
328,logr,Adaptive Sampling,births,0.0014894699999999969,99.38855911330049,0.4550701951980591
329,logr,Adaptive Sampling,airports,19.196117638888893,85.79421632433233,0.5109386285146077
330,logr,Adaptive Sampling,credit-g,0.001120947499999999,99.32432338758288,1.0975530529022217
331,logr,Adaptive Sampling,lymphography,0.022023905976676365,93.35685951633167,0.5732077676422742
332,logr,Adaptive Sampling,Cust_Segmentation,0.39166374499999945,99.25606392516264,0.8344989395141602
333,logr,Adaptive Sampling,flag,0.01682646390532545,98.94585097864768,1.2376881526066708
334,logr,Adaptive Sampling,drug_dt,0.008685421831955932,95.99643412698413,0.463587634491198
